resource_id;dc.identifier.issn;dc.identifier.isbn;dc.publisher;dc.relation.ispartof
2621;{0001-1541};;"{""John Wiley & Sons, Inc.""}";{AIChE Journal}
4538;{0001-1541};;{Wiley-Blackwell};{AIChE Journal}
13687;{0001-6373,1588-2659};;{Akademiai Kiado Zrt};{Acta Oeconomica}
13690;{0001-6373,1588-2659};;{Akademiai Kiado Zrt};{Acta Oeconomica}
13882;{0001-6918,1873-6297};;{Elsevier B.V.};{Acta Psychologica}
14052;{0001-6918,1873-6297};;{Elsevier B.V.};{Acta Psychologica}
7343;{0001-7043};;{Akademie věd ČR};{Acta Technica CSAV}
4098;{0001-7043};;{Akademie věd ČR};{Acta Technica CSAV}
4046;{0001-7213};;;{Acta Veterinaria Brno}
5172;{0001-7213};;{Veterinárni a farmaceutická univerzita Brno};{Acta Veterinaria Brno}
4386;{0001-7213};;;{Acta Veterinaria Brno}
12566;{0001-8686,1873-3727};;{Elsevier B.V.};{Advances in Colloid and Interface Science}
13553;{0001-8686,1873-3727};;{Elsevier B.V.};{Advances in Colloid and Interface Science}
10945;{0002-9726};;{Amer Leather Chemists Assn};{Journal of the American Leather Chemists Association}
3730;{0002-9726};;{American Leather Chemists Association (ALCA)};{Journal of American Leather Chemists Association}
2328;{0002-9726};;{American Leather Chemists Association (ALCA)};{Journal of American Leather Chemists Association}
5828;{0002-9726};;{American Leather Chemists Association (ALCA)};{Journal of the American Leather Chemists Association}
1967;{0002-9726};;{American Chemical Society (ACS)};{Journal of American Leather Chemists Association}
2420;{0002-9726};;{American Leather Chemists Association (ALCA)};{Journal of American Leather Chemists Association}
2425;{0002-9726};;{American Leather Chemists Association (ALCA)};{Journal of American Leather Chemists Association}
2451;{0002-9726};;{American Leather Chemists Association (ALCA),American Leather Chemists Association (ALCA)};{Journal of American Leather Chemists Association}
2380;{0003-682X};;{Pergamon Elsevier Science Ltd.};{Applied Acoustics}
1747;{0003-682X};;{Elsevier};{Applied Acoustics}
9490;{0003-6951};;{American Institute of Physics Inc.};{Applied Physics Letters}
5549;{0003-6951};;{American Institute of Physics (AIP)};{Applied Physics Letters}
4485;{0003-9438};;{Copernicus GmbH};{Archiv für Tierzucht,Archives Animal Breeding}
3410;{0003-9438};;{Forschungsinstitut für die Biologie landwirtschaftlicher Nutztiere (FBN)};{Archiv für Tierzucht}
1985;{0004-072X};;{Politechnika Slaska};{Archives of Control Sciences}
2283;{0004-072X};;"{""Polish Academy of Sciences, The Committee of Automatic Control and Robotics""}";{Archives of Control Sciences}
2033;{0004-072X};;{Politechnika Slaska};{Archives of Control Sciences}
10777;{0008-4077};;"{""Canadian Science Publishing, Nrc Research Press""}";{Canadian Journal of Earth Sciences}
10988;{0008-4077};;"{""Canadian Science Publishing, Nrc Research Press""}";{Canadian Journal of Earth Sciences}
5322;{0008-4077};;{NRC Research Press};{Canadian Journal of Earth Sciences}
1724;{0008-4077};;"{""Canadian Research Concil (NRC),Conseil National de Recherches Canada (CNCR)""}";{Canadian Journal of Earth Sciences}
8404;{0008-6223};;{Elsevier};{Carbon}
5143;{0008-6223};;"{""Elsevier, Ltd.""}";{Carbon}
4523;{0008-6223};;{Pergamon Elsevier Science Ltd.};{Carbon}
3870;{0008-6223};;{Pergamon Elsevier Science Ltd.};{Carbon}
6820;{0008-7335};;;{Časopis lékařů českých}
13960;{0008-7335};;{Czech Medical Association J.E. Purkyne};{Časopis lékařů českých}
7973;{0008-7335};;;{Časopis Lékařů Českých}
10960;{0008-8846};;{Pergamon-Elsevier Science Ltd};{Cement and Concrete Research}
1779;{0008-8846};;{Industrial Chemistry Research Institute (ICRI)};{Cement and Concrete Research}
10930;{0008-8846};;{Pergamon-Elsevier Science Ltd};{Cement and Concrete Research}
10959;{0008-8846};;{Pergamon-Elsevier Science Ltd};{Cement and Concrete Research}
2023;{0008-8846};;{Verlag Bau und Technik GmbH};{Cement and Concrete Research}
10989;{0008-8846};;{Pergamon-Elsevier Science Ltd};{Cement and Concrete Research}
2022;{0008-8846};;{Verlag Bau und Technik GmbH};{Cement and Concrete Research}
10952;{0008-8846};;{Pergamon-Elsevier Science Ltd};{Cement and Concrete Research}
1744;{0008-8846};;{Elsevier};{Cement and Concrete Research}
